23,t,2025-03-27 00:00:00-06,2025-03-27 00:00:00-06,1,4000104,,,CAJA 35X35 CARTON PIZZA PZA,f,20.000,1,1,1,0.0000,0.0000,16.0000,f,1,270.00,305.00,f,14121500,0.000,0.000,0.000,f,270.00,H87,f
24,t,2025-03-27 00:00:00-06,2025-03-27 00:00:00-06,1,4000105,,,CAJA 38X38 CARTON PIZZA PZA,f,15.000,1,1,1,0.0000,0.0000,16.0000,f,1,325.00,367.00,f,14121500,0.000,0.000,0.000,f,325.00,H87,f
25,t,2025-03-27 00:00:00-06,2025-03-27 00:00:00-06,1,4000106,,,CAJA 41X41 CARTON PIZZA PZA,f,13.000,1,1,1,0.0000,0.0000,16.0000,f,1,350.00,395.00,f,14121500,0.000,0.000,0.000,f,350.00,H87,f
26,t,2020-06-13 00:00:00-05,2020-06-13 00:00:00-05,1,2000106,950021,121,CAJETA A GRANEL KG,t,-7696.486,1,1,1,0.0000,0.0000,0.0000,f,1,51.77,65.00,f,50131700,0.000,0.000,0.000,f,41.16,KGM,f
27,t,2024-11-14 00:00:00-06,2024-11-14 00:00:00-06,1,7501032485047,,,CARIBE COOLER FRESA C/12 PZS,f,2518.000,1,1,1,0.0000,0.0000,16.0000,f,1,198.00,18.75,f,50202200,0.000,0.000,0.000,f,206.00,C62,f
28,t,2025-03-28 00:00:00-06,2025-03-28 00:00:00-06,1,7501389330069,,,RICA BURGER BOLSA CON 14 PIEZAS,f,3140.362,1,1,1,0.0000,0.0000,0.0000,f,1,93.04,100.00,f,50112000,0.000,0.000,0.000,f,93.06,H87,t
29,t,2017-09-15 00:00:00-05,2019-05-10 00:00:00-05,1,4000107,,,CARTON VACIO/HUEVO,f,-8628.890,1,1,1,0.0000,0.0000,0.0000,f,1,5.00,5.00,f,1010101,0.000,0.000,0.000,f,5.00,H87,f
30,t,2025-03-24 00:00:00-06,2025-03-24 00:00:00-06,1,7501064112546,,,CERVEZA MODELO C/24,f,461.000,1,1,1,0.0000,0.0000,0.0000,f,1,370.00,398.00,t,50202200,0.000,0.000,0.000,f,370.00,C62,f
31,t,2025-03-15 00:00:00-06,2025-03-15 00:00:00-06,1,7501182300368,,,CHORIZO CORONA 1KG,f,-915.000,1,1,1,0.0000,0.0000,0.0000,f,1,137.00,153.00,f,50112000,0.000,0.000,0.000,f,137.00,KGM,t
32,t,2025-01-13 00:00:00-06,2025-01-13 00:00:00-06,1,7501182300078,,,CHORIZO CORONA 5KG,f,-24.000,1,1,1,0.0000,0.0000,0.0000,f,1,614.00,734.00,f,50112000,0.000,0.000,0.000,f,614.00,KGM,t
33,t,2025-03-21 00:00:00-06,2025-03-21 00:00:00-06,1,1000102,950001,101,CHORIZO HOJA,t,-8940.646,1,1,1,0.0000,0.0000,0.0000,f,1,60.00,72.00,f,50112000,0.000,0.000,0.000,f,60.00,KGM,f
34,t,2025-03-21 00:00:00-06,2025-03-21 00:00:00-06,1,1000103,950002,102,CHORIZO HORIZONTE KG,t,-9545.881,1,1,1,0.0000,0.0000,0.0000,f,1,66.50,77.00,f,50112000,0.000,0.000,0.000,f,66.50,KGM,f
35,t,2025-03-24 00:00:00-06,2025-03-24 00:00:00-06,1,7502223916043,950045,145,CHULETA REBANADA NAYAR 500GMS,t,-8297.488,1,1,1,0.0000,0.0000,0.0000,f,1,104.00,119.00,f,50112000,0.000,0.000,0.000,f,106.50,KGM,f
36,t,2025-03-26 00:00:00-06,2025-03-26 00:00:00-06,1,14800515343,,,CLAMATO 1.890 LT PZA,f,-5995.000,1,1,1,0.0000,0.0000,0.0000,f,1,399.60,58.00,f,50202500,0.000,0.000,0.000,f,399.60,H87,t
37,t,2025-03-05 00:00:00-06,2025-03-05 00:00:00-06,1,14800515336,,,CLAMATO 946 ML PZA,f,2987.000,1,1,1,0.0000,0.0000,0.0000,f,1,395.10,38.00,f,50202500,0.000,0.000,0.000,f,395.10,H87,t
38,t,2025-03-22 00:00:00-06,2025-03-22 00:00:00-06,1,14800515312,,,CLAMATO 296 ML PZA,f,-3933.780,1,1,1,0.0000,0.0000,0.0000,f,1,349.20,17.00,f,50202500,0.000,0.000,0.000,f,349.20,H87,t
39,t,2025-03-26 00:00:00-06,2025-03-26 00:00:00-06,1,14800515329,,,CLAMATO 473ML C/12,f,7553.500,1,1,1,0.0000,0.0000,0.0000,f,1,229.50,257.00,f,50202500,0.000,0.000,0.000,f,229.50,H87,f
40,t,2025-03-06 00:00:00-06,2025-03-06 00:00:00-06,1,97339000405,,,COSTA BRAVA GALON PIEZA,f,92.000,1,1,1,0.0000,0.0000,0.0000,f,1,247.00,83.00,f,50171831,0.000,0.000,0.000,f,211.25,H87,t
41,t,2025-03-26 00:00:00-06,2025-03-26 00:00:00-06,1,2000108,,,CREMA SUPREMA GAMA 17.5KG,f,118.000,1,1,1,0.0000,0.0000,0.0000,f,1,822.50,943.00,f,50131700,0.000,0.000,0.000,f,822.50,H87,f
42,t,2025-02-11 00:00:00-06,2025-02-11 00:00:00-06,1,7501096810502,,,TOP CHANTILLI CHOCOLATE 2KG PIEZA,f,-203.000,1,1,1,0.0000,0.0000,0.0000,f,1,657.02,190.00,f,50131700,0.000,0.000,0.000,f,619.83,H87,t
